time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-04-09T11:24:53.200Z,18.1093,-67.2779,22,1.4,Md,3,306,0.19044284,0.1,pr,pr17099007,2017-04-09T14:31:06.316Z,"10km WNW of Puerto Real, Puerto Rico",earthquake,2.1,2.9,0,3,reviewed,pr,pr
2017-04-09T11:20:26.360Z,34.2,-117.0115,5.41,1.28,ml,47,42,0.09755,0.16,ci,ci37853056,2017-04-09T14:56:22.421Z,"9km E of Running Springs, CA",earthquake,0.2,0.66,0.15,30,reviewed,ci,ci
2017-04-09T10:57:58.210Z,-41.7121,175.3898,15.07,4.2,mb,,151,0.175,0.24,us,us10008g1e,2017-04-09T13:19:05.040Z,"34km SSW of Waipawa, New Zealand",earthquake,4.6,5.6,0.304,3,reviewed,us,us
2017-04-09T10:50:06.260Z,57.0418,162.7291,38.54,4.3,mb,,140,4.66,0.69,us,us10008g1f,2017-04-09T11:08:44.040Z,"91km N of Ust'-Kamchatsk Staryy, Russia",earthquake,15.3,4.9,0.072,55,reviewed,us,us
2017-04-09T10:38:51.430Z,38.8048325,-122.8018341,3.02,0.64,md,17,122,0.005987,0.02,nc,nc72786706,2017-04-09T10:47:03.557Z,"4km NW of The Geysers, California",earthquake,0.35,0.53,0.23,5,automatic,nc,nc
2017-04-09T10:38:25.110Z,38.8033333,-122.8046646,3.38,0.88,md,15,130,0.008656,0.02,nc,nc72786701,2017-04-09T10:45:04.553Z,"5km NW of The Geysers, California",earthquake,0.39,0.61,0.05,5,automatic,nc,nc
2017-04-09T10:35:56.346Z,61.4833,-145.9747,35.5,1.4,ml,,,,0.91,ak,ak15707675,2017-04-09T10:40:58.990Z,"44km NNE of Valdez, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-04-09T10:21:51.156Z,61.7768,-151.7803,85,1.1,ml,,,,0.56,ak,ak15707673,2017-04-09T10:30:36.904Z,"92km W of Willow, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-04-09T10:08:25.786Z,59.7425,-152.8929,98,1.2,ml,,,,0.55,ak,ak15707669,2017-04-09T10:15:24.195Z,"59km W of Anchor Point, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-04-09T10:06:13.860Z,33.4976667,-116.7913333,5.36,0.54,ml,19,76,0.08124,0.12,ci,ci37853048,2017-04-09T10:09:59.858Z,"9km NE of Aguanga, CA",earthquake,0.22,0.94,0.059,10,automatic,ci,ci
2017-04-09T09:46:07.160Z,38.8188324,-122.8058319,2.77,1.27,md,21,82,0.005634,0.03,nc,nc72786691,2017-04-09T12:41:02.737Z,"6km NW of The Geysers, California",earthquake,0.24,0.43,0.1,7,automatic,nc,nc
2017-04-09T09:23:57.510Z,17.2587,-99.5096,47.84,4.4,mb,,204,0.949,0.84,us,us10008g0z,2017-04-09T16:33:56.888Z,"6km E of El Ocotito, Mexico",earthquake,11.6,12.3,0.04,178,reviewed,us,us
2017-04-09T09:14:37.330Z,38.7878342,-122.8601685,8.85,1.24,md,17,123,0.01213,0.1,nc,nc72786686,2017-04-09T12:12:01.706Z,"9km W of The Geysers, California",earthquake,1.02,1.61,0.11,6,automatic,nc,nc
2017-04-09T09:10:13.840Z,36.6973,-116.3105,13.7,0.5,ml,11,83.23,0.083,,nn,nn00584688,2017-04-09T09:12:57.709Z,"46km ESE of Beatty, Nevada",earthquake,,,,,automatic,nn,nn
2017-04-09T09:05:16.360Z,33.525,-116.5198333,13.08,0.61,ml,26,83,0.03373,0.17,ci,ci37853032,2017-04-09T14:56:53.853Z,"15km ESE of Anza, CA",earthquake,0.32,0.51,0.2,16,reviewed,ci,ci
2017-04-09T08:55:52.000Z,19.086,-66.8056,23,2.9,Md,4,284.4,0.67912635,0.23,pr,pr17099006,2017-04-09T12:55:21.440Z,"66km N of Hatillo, Puerto Rico",earthquake,2,18,0,2,reviewed,pr,pr
2017-04-09T08:53:56.709Z,36.6936,-116.3201,9.2,1.1,ml,26,71.62,0.093,0.1659,nn,nn00584686,2017-04-09T16:37:08.711Z,"45km ESE of Beatty, Nevada",earthquake,,1.4,0.25,14,reviewed,nn,nn
2017-04-09T08:25:48.720Z,38.8116684,-122.8231659,2.89,0.56,md,5,140,0.005466,0.01,nc,nc72786666,2017-04-09T08:32:02.310Z,"6km WNW of The Geysers, California",earthquake,0.9,1.91,,1,automatic,nc,nc
2017-04-09T08:16:19.440Z,38.8196678,-122.7803345,0.63,0.5,md,5,174,0.006405,0.02,nc,nc72786656,2017-04-09T10:29:01.529Z,"4km W of Cobb, California",earthquake,1.07,0.86,0.05,3,automatic,nc,nc
2017-04-09T08:12:33.563Z,58.377,-156.1917,174.3,2.6,ml,,,,0.81,ak,ak15707438,2017-04-09T08:25:37.628Z,"44km SE of King Salmon, Alaska",earthquake,,1.3,,,automatic,ak,ak
2017-04-09T08:11:20.500Z,19.4790001,-155.6426697,3.36,1.96,ml,31,70,0.04339,0.31,hv,hv61686746,2017-04-09T08:17:02.100Z,"23km E of Honaunau-Napoopoo, Hawaii",earthquake,0.44,0.93,0.24,3,automatic,hv,hv
2017-04-09T08:05:30.073Z,61.3775,-140.3217,14.7,0.1,ml,,,,0.23,ak,ak15707437,2017-04-09T09:50:30.016Z,"166km WNW of Haines Junction, Canada",earthquake,,1.9,,,reviewed,ak,ak
2017-04-09T07:52:59.830Z,38.8023338,-122.8041687,10.28,0.57,md,5,217,0.008924,0.07,nc,nc72786651,2017-04-09T10:04:02.485Z,"4km NW of The Geysers, California",earthquake,4.47,8.32,0.01,2,automatic,nc,nc
2017-04-09T07:45:01.784Z,63.5844,-147.2494,4.7,1.2,ml,,,,0.5,ak,ak15707436,2017-04-09T07:48:31.571Z,"87km ENE of Cantwell, Alaska",earthquake,,0.7,,,automatic,ak,ak
2017-04-09T07:33:17.000Z,19.0363,-64.7225,47,3.3,Md,4,342,0.89831528,0.1,pr,pr17099005,2017-04-09T12:54:41.249Z,"69km N of Road Town, British Virgin Islands",earthquake,3,8.7,0,3,reviewed,pr,pr
2017-04-09T07:31:41.544Z,38.9337,-115.6044,2.5,2.1,ml,8,158.03,0.612,0.1582,nn,nn00584682,2017-04-09T16:04:57.578Z,"24km NNW of Currant, Nevada",earthquake,,5.4,0.41,4,reviewed,nn,nn
2017-04-09T07:29:12.044Z,59.9834,-147.0229,6.2,1.7,ml,,,,0.84,ak,ak15707434,2017-04-09T07:33:19.213Z,"72km NNW of Middleton Island, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-04-09T07:27:46.800Z,18.5114,-67.2154,29,2.6,Md,4,298.8,0.35483454,0.18,pr,pr17099004,2017-04-09T12:53:51.053Z,"11km NW of Aguadilla, Puerto Rico",earthquake,1.5,3.5,0,2,reviewed,pr,pr
2017-04-09T07:26:09.987Z,63.7564,-146.8386,0.1,1.3,ml,,,,0.54,ak,ak15707432,2017-04-09T07:31:08.668Z,"62km WSW of Delta Junction, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-04-09T07:20:34.800Z,34.2455,-117.6541667,2.01,1.06,ml,24,60,0.007572,0.22,ci,ci37853024,2017-04-09T07:24:21.976Z,"13km S of Wrightwood, CA",earthquake,0.27,0.28,0.158,29,automatic,ci,ci
2017-04-09T07:11:43.185Z,61.1707,-151.3344,59.7,1.2,ml,,,,0.72,ak,ak15707430,2017-04-09T07:14:56.141Z,"53km N of Nikiski, Alaska",earthquake,,1.3,,,automatic,ak,ak
2017-04-09T07:09:26.420Z,36.5783348,-121.0261688,8.35,1.73,md,12,231,0.01079,0.04,nc,nc72786641,2017-04-09T09:10:04.390Z,"31km ENE of Soledad, California",earthquake,1.19,1.21,0.23,11,automatic,nc,nc
2017-04-09T06:58:38.161Z,61.5758,-152.3222,4.6,1.4,ml,,,,0.72,ak,ak15707426,2017-04-09T07:10:45.317Z,"113km NNW of Nikiski, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-04-09T06:49:22.940Z,34.255,-118.4656667,9.92,1.24,ml,16,73,0.05348,0.22,ci,ci37852896,2017-04-09T06:53:12.814Z,"4km ESE of Granada Hills, CA",earthquake,0.7,1.3,0.33,22,automatic,ci,ci
2017-04-09T06:38:38.540Z,33.9738333,-116.8338333,11.51,1.63,ml,61,42,0.06488,0.18,ci,ci37852888,2017-04-09T14:58:57.540Z,"7km NE of Banning, CA",earthquake,0.2,0.6,0.137,28,reviewed,ci,ci
2017-04-09T06:29:01.910Z,38.7631683,-122.7389984,1.56,0.58,md,7,116,0.01129,0.02,nc,nc72786631,2017-04-09T08:45:03.328Z,"2km SE of The Geysers, California",earthquake,0.43,1.25,0.06,3,automatic,nc,nc
2017-04-09T06:24:48.517Z,61.1167,-147.4771,8.8,1.4,ml,,,,0.68,ak,ak15707423,2017-04-09T06:28:38.856Z,"60km W of Valdez, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-04-09T06:13:44.642Z,60.3815,-152.18,87.4,1.5,ml,,,,0.65,ak,ak15707412,2017-04-09T06:22:27.707Z,"33km ESE of Redoubt Volcano, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-04-09T06:13:30.980Z,37.9788322,-118.7301636,2.9,2.78,md,34,79,0.2758,0.09,nc,nc72786626,2017-04-09T15:55:26.252Z,"41km NNE of Mammoth Lakes, California",earthquake,0.25,5.17,0.24,28,automatic,nc,nc
2017-04-09T05:51:56.688Z,63.4244,-151.102,0,1.3,ml,,,,0.75,ak,ak15707409,2017-04-09T06:03:04.543Z,"107km W of Cantwell, Alaska",earthquake,,0.4,,,automatic,ak,ak
