time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-04-08T22:17:44.745Z,59.683,-153.157,103.2,1.5,ml,,,,0.27,ak,ak15706101,2017-04-08T22:21:26.058Z,"75km W of Anchor Point, Alaska",earthquake,,0.9,,,automatic,ak,ak
2017-04-08T22:04:20.903Z,61.402,-149.6591,19.5,2.1,ml,,,,0.57,ak,ak15706087,2017-04-09T15:24:47.290Z,"12km SSW of Knik-Fairview, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-04-08T21:50:40.276Z,63.0223,-148.045,61.5,2.5,ml,,,,0.55,ak,ak15706076,2017-04-08T22:06:53.113Z,"61km SE of Cantwell, Alaska",earthquake,,0.7,,,automatic,ak,ak
2017-04-08T21:31:01.230Z,38.5731,43.4558,22.21,4.1,mb,,41,0.406,0.69,us,us10008fxi,2017-04-08T22:05:55.040Z,"10km NE of Van, Turkey",earthquake,7,6,0.081,42,reviewed,us,us
2017-04-08T21:20:23.260Z,49.4266667,-120.5263333,-1.5,1.96,ml,8,269,0.9491,0.29,uw,uw61269086,2017-04-08T22:22:14.760Z,"3km SSW of Princeton, Canada",explosion,7.34,31.61,0.013,7,reviewed,uw,uw
2017-04-08T21:01:27.710Z,36.0863333,-117.8318333,1.33,0.8,ml,9,135,0.03633,0.11,ci,ci37852408,2017-04-08T21:05:06.664Z,"11km ENE of Coso Junction, CA",earthquake,0.42,0.38,0.091,6,automatic,ci,ci
2017-04-08T20:42:47.400Z,38.8349991,-122.7835007,1.44,1.67,md,21,93,0.006337,0.03,nc,nc72786491,2017-04-08T23:06:02.212Z,"5km WNW of Cobb, California",earthquake,0.21,0.37,0.11,9,automatic,nc,nc
2017-04-08T20:24:21.644Z,60.7265,-149.912,39.5,1.4,ml,,,,0.52,ak,ak15705698,2017-04-08T20:27:37.503Z,"51km ENE of Sterling, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-04-08T19:55:32.640Z,-22.5528,25.051,13.66,4.6,mb,,125,2.501,0.54,us,us10008fwy,2017-04-08T22:09:10.972Z,"137km SSW of Letlhakane, Botswana",earthquake,9,4.4,0.08,47,reviewed,us,us
2017-04-08T19:39:48.190Z,38.8330002,-122.7841644,1.85,1.51,md,21,103,0.01135,0.03,nc,nc72786476,2017-04-08T22:37:03.143Z,"5km WNW of Cobb, California",earthquake,0.27,0.37,0.09,7,automatic,nc,nc
2017-04-08T19:25:11.540Z,40.3293343,-124.8564987,6.11,2.67,md,17,264,0.4575,0.07,nc,nc72786466,2017-04-08T22:09:03.098Z,"57km WSW of Ferndale, California",earthquake,2.93,2.6,0.05,5,automatic,nc,nc
2017-04-08T19:21:08.940Z,38.8133316,-122.8138351,2.49,1.52,md,19,94,0.01047,0.02,nc,nc72786461,2017-04-08T21:54:02.083Z,"6km NW of The Geysers, California",earthquake,0.29,0.47,0.08,6,automatic,nc,nc
2017-04-08T19:09:02.550Z,51.3165,-173.472,38.46,3.9,mb,,200,1.789,1,us,us10008fwu,2017-04-08T21:27:20.040Z,"110km SSE of Atka, Alaska",earthquake,9.2,9.9,0.075,47,reviewed,us,us
2017-04-08T19:02:53.680Z,35.8083333,-117.6418333,10.14,1.47,ml,22,63,0.03678,0.18,ci,ci37852392,2017-04-09T14:59:59.550Z,"21km N of Ridgecrest, CA",earthquake,0.33,0.59,0.145,21,reviewed,ci,ci
2017-04-08T18:55:59.200Z,18.7724,-64.2925,26,3,Md,3,342,0.63151564,0.2,pr,pr17098006,2017-04-08T21:01:08.697Z,"52km NE of Road Town, British Virgin Islands",earthquake,5.1,16.6,0,1,reviewed,pr,pr
2017-04-08T18:54:33.914Z,57.1819,-156.2424,0,2.3,ml,,,,0.78,ak,ak15705684,2017-04-08T18:58:44.981Z,"141km WSW of Larsen Bay, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-04-08T18:49:55.060Z,39.7474,-98.1238,14.57,2.6,mb_lg,,117,1.114,0.2,us,us10008fx5,2017-04-09T00:26:43.302Z,"8km ESE of Mankato, Kansas",earthquake,2.7,8.5,0.132,15,reviewed,us,us
2017-04-08T18:40:30.290Z,19.4761667,-155.6401667,5.535,1.21,md,34,47,0.04156,0.25,hv,hv61685116,2017-04-09T02:41:12.660Z,"23km E of Honaunau-Napoopoo, Hawaii",earthquake,0.33,0.92,0.102,12,reviewed,hv,hv
2017-04-08T18:36:22.457Z,59.8515,-153.1861,117,1.9,ml,,,,0.73,ak,ak15705671,2017-04-08T18:49:03.434Z,"74km SSW of Redoubt Volcano, Alaska",earthquake,,1.4,,,automatic,ak,ak
2017-04-08T18:14:37.082Z,63.1028,-150.8255,98,1.1,ml,,,,0.54,ak,ak15705665,2017-04-08T18:19:08.871Z,"94km NNW of Talkeetna, Alaska",earthquake,,1.6,,,automatic,ak,ak
2017-04-08T18:09:01.990Z,63.5174,-147.5098,21,0.8,ml,,,,0.9,ak,ak15705664,2017-04-08T23:24:47.888Z,"73km ENE of Cantwell, Alaska",earthquake,,1.2,,,reviewed,ak,ak
2017-04-08T18:03:37.530Z,38.8216667,-122.8171692,3.45,0.98,md,10,143,0.02188,0.07,nc,nc72786446,2017-04-08T20:34:02.940Z,"7km NW of The Geysers, California",earthquake,0.56,1.1,0.08,5,automatic,nc,nc
2017-04-08T17:59:50.250Z,38.8161659,-122.7631683,1.57,1.24,md,16,72,0.01399,0.03,nc,nc72786441,2017-04-08T20:05:01.897Z,"3km W of Cobb, California",earthquake,0.26,0.42,0.1,7,automatic,nc,nc
2017-04-08T17:56:52.550Z,38.7928352,-122.7248306,2.2,0.36,md,7,130,0.00657,0.02,nc,nc72786436,2017-04-08T19:40:03.853Z,"3km S of Cobb, California",earthquake,0.51,0.83,0.11,3,automatic,nc,nc
2017-04-08T17:55:09.910Z,38.7944984,-122.725502,1.99,1.01,md,9,85,0.007426,0.01,nc,nc72786431,2017-04-08T19:14:01.814Z,"3km S of Cobb, California",earthquake,0.34,0.83,0.13,5,automatic,nc,nc
2017-04-08T17:51:39.830Z,38.795166,-122.7245026,1.79,0.85,md,11,104,0.006943,0.02,nc,nc72786426,2017-04-08T18:46:02.770Z,"2km S of Cobb, California",earthquake,0.35,0.56,0.27,3,automatic,nc,nc
2017-04-08T17:51:19.240Z,38.7936668,-122.7279968,1.22,2.43,md,34,83,0.009131,0.05,nc,nc72786421,2017-04-08T18:21:03.711Z,"3km S of Cobb, California",earthquake,0.2,0.24,0.17,17,automatic,nc,nc
2017-04-08T17:33:34.580Z,38.8288345,-122.8083344,1.95,0.79,md,6,178,0.005599,0.03,nc,nc72786416,2017-04-08T18:06:03.359Z,"7km W of Cobb, California",earthquake,1.46,0.88,0.27,3,automatic,nc,nc
2017-04-08T17:31:31.131Z,62.7668,-151.9988,8.7,1.2,ml,,,,0.58,ak,ak15705492,2017-04-08T17:38:53.147Z,"109km WNW of Talkeetna, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-04-08T17:26:42.030Z,13.6626,120.8073,50.89,4.4,mb,,125,8.733,0.43,us,us10008fw4,2017-04-09T09:42:50.573Z,"6km W of Tingloy, Philippines",earthquake,14,8.9,0.089,39,reviewed,us,us
2017-04-08T17:15:12.124Z,59.9637,-139.4815,0,1.4,ml,,,,1.3,ak,ak15705479,2017-04-08T17:22:10.707Z,"48km NNE of Yakutat, Alaska",earthquake,,0.7,,,automatic,ak,ak
